site,far_end_fiber_site,hop_km,radio_configuration,capacity,dish_m,antenna_gain_dBi,free_space_loss_dB,RSL_dBm,fade_margin_dB,rain_attenuation_0.01pct_dB,availability_99.99,terrain_line_of_sight,clearance_m_vs_0.6F1
RUR-R-0381,RUR-R-0398,4.2,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,130.1,-27.1,34.9,7.2,OK,LOS,44
RUR-R-0382,RUR-R-0398,4.1,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,129.9,-26.9,35.1,7.1,OK,LOS,20
RUR-R-0385,MAF-SU-0175,3.9,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,129.5,-26.5,35.5,6.8,OK,LOS,27
RUR-R-0386,MAF-SU-0162,6.7,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,134.0,-31.1,30.9,10.5,OK,LOS,22
RUR-R-0387,RUR-R-0355,8.1,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,135.7,-25.7,34.3,12.2,OK,LOS,30
RUR-R-0389,RUR-R-0388,4.4,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,130.5,-27.5,34.5,7.5,OK,LOS,36
RUR-R-0390,RUR-R-0407,7.5,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,135.0,-25.0,35.0,11.5,OK,BLOCKED by 69 m: raise antennas or relay,-69
RUR-R-0391,RUR-R-0407,4.7,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,131.0,-28.1,33.9,7.9,OK,LOS,8
RUR-R-0393,RUR-R-0392,4.3,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,130.1,-27.1,34.9,7.3,OK,BLOCKED by 12 m: raise antennas or relay,-12
RUR-R-0395,RUR-R-0394,3.9,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,129.5,-26.5,35.5,6.8,OK,LOS,44
RUR-R-0396,RUR-R-0411,8.5,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,136.1,-26.1,33.9,12.6,OK,LOS,24
RUR-R-0397,RUR-R-0398,4.2,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,130.0,-27.0,35.0,7.2,OK,LOS,39
RUR-R-0399,RUR-R-0383,4.6,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,130.8,-27.8,34.2,7.8,OK,LOS,41
RUR-R-0400,RUR-R-0414,4.3,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,130.3,-27.3,34.7,7.4,OK,LOS,43
RUR-R-0402,RUR-R-0401,4.5,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,130.6,-27.6,34.4,7.6,OK,LOS,37
RUR-R-0403,RUR-R-0401,8.9,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,136.5,-26.5,33.5,13.1,OK,LOS,31
RUR-R-0404,RUR-R-0416,4.4,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,130.4,-27.4,34.6,7.5,OK,BLOCKED by 44 m: raise antennas or relay,-44
RUR-R-0405,RUR-R-0388,7.7,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,135.3,-25.3,34.7,11.8,OK,BLOCKED by 111 m: raise antennas or relay,-111
RUR-R-0406,RUR-R-0407,5.2,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,131.9,-29.0,33.0,8.7,OK,LOS,42
RUR-R-0408,IRB-SU-0508,3.2,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,127.6,-24.6,37.4,5.6,OK,BLOCKED by 13 m: raise antennas or relay,-13
RUR-R-0409,IRB-SU-0540,5.8,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,132.8,-29.9,32.1,9.4,OK,BLOCKED by 14 m: raise antennas or relay,-14
RUR-R-0410,RUR-R-0421,4.7,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,131.0,-28.1,33.9,7.9,OK,LOS,41
RUR-R-0412,RUR-R-0411,3.9,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,129.4,-26.4,35.6,6.8,OK,BLOCKED by 15 m: raise antennas or relay,-15
RUR-R-0413,RUR-R-0414,5.0,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,131.5,-28.6,33.4,8.3,OK,LOS,42
RUR-R-0415,RUR-R-0414,4.5,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,130.6,-27.6,34.4,7.6,OK,LOS,40
RUR-R-0417,RUR-R-0416,4.5,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,130.6,-27.6,34.4,7.6,OK,LOS,16
