site_id,class,zone,cluster,governorate,lat,lon,ground_elev_m,site_type,local_bldg_height_mean_m,local_bldg_height_max_m,built_fraction,antenna_height_agl_m,sectors,configuration,backhaul,hub,ring,is_hub
TAF-SU-0046,SU,Tafilah outskirts,Tafilah,Tafilah,30.81819,35.59041,1121,Monopole / greenfield,3.3,4.5,0.44,32,3,3-sector | n78 64T64R 3x100 MHz + n3 4T4R + n28 2T4R,Fiber ring,HUB-TAF-02,HUB-TAF-02-R01,0
TAF-SU-0047,SU,Tafilah outskirts,Tafilah,Tafilah,30.81760,35.59655,1194,Monopole / greenfield,2.5,2.5,0.04,32,3,3-sector | n78 64T64R 3x100 MHz + n3 4T4R + n28 2T4R,Fiber ring,HUB-TAF-02,HUB-TAF-02-R02,0
TAF-SU-0048,SU,Tafilah outskirts,Tafilah,Tafilah,30.81877,35.60338,1259,Monopole / greenfield,0.0,0.0,0.0,32,3,3-sector | n78 64T64R 3x100 MHz + n3 4T4R + n28 2T4R,Fiber ring,HUB-TAF-02,HUB-TAF-02-R02,0
TAF-SU-0049,SU,Tafilah outskirts,Tafilah,Tafilah,30.82328,35.58699,1035,Monopole / greenfield,4.7,8.6,0.92,32,3,3-sector | n78 64T64R 3x100 MHz + n3 4T4R + n28 2T4R,Fiber ring,HUB-TAF-02,HUB-TAF-02-R01,0
TAF-SU-0050,SU,Tafilah outskirts,Tafilah,Tafilah,30.82210,35.59245,1111,Monopole / greenfield,5.1,7.8,0.96,32,3,3-sector | n78 64T64R 3x100 MHz + n3 4T4R + n28 2T4R,Fiber ring,HUB-TAF-02,HUB-TAF-02-R01,0
TAF-SU-0051,SU,Tafilah outskirts,Tafilah,Tafilah,30.82210,35.62659,1171,Monopole / greenfield,0.0,0.0,0.0,32,3,3-sector | n78 64T64R 3x100 MHz + n3 4T4R + n28 2T4R,Fiber ring,HUB-TAF-02,HUB-TAF-02-R03,0
TAF-SU-0052,SU,Tafilah outskirts,Tafilah,Tafilah,30.82778,35.58153,1039,Monopole / greenfield,2.5,2.6,0.76,32,3,3-sector | n78 64T64R 3x100 MHz + n3 4T4R + n28 2T4R,Fiber ring,HUB-TAF-02,HUB-TAF-02-R01,0
TAF-SU-0053,SU,Tafilah outskirts,Tafilah,Tafilah,30.82719,35.58904,1039,Rooftop,6.2,11.7,0.96,32,3,3-sector | n78 64T64R 3x100 MHz + n3 4T4R + n28 2T4R,Fiber ring,HUB-TAF-02,HUB-TAF-02-R01,0
TAF-SU-0054,SU,Tafilah outskirts,Tafilah,Tafilah,30.82837,35.62181,1109,Rooftop,7.2,16.2,0.56,32,3,3-sector | n78 64T64R 3x100 MHz + n3 4T4R + n28 2T4R,Fiber ring,HUB-TAF-02,HUB-TAF-02-R03,0
TAF-SU-0055,SU,Tafilah outskirts,Tafilah,Tafilah,30.83346,35.57744,1016,Monopole / greenfield,2.5,2.5,0.8,32,3,3-sector | n78 64T64R 3x100 MHz + n3 4T4R + n28 2T4R,Fiber ring,HUB-TAF-02,HUB-TAF-02-R06,0
TAF-SU-0056,SU,Tafilah outskirts,Tafilah,Tafilah,30.83346,35.58426,820,Monopole / greenfield,0.0,0.0,0.0,32,3,3-sector | n78 64T64R 3x100 MHz + n3 4T4R + n28 2T4R,Fiber ring,HUB-TAF-02,HUB-TAF-02-R06,0
TAF-SU-0057,SU,Tafilah outskirts,Tafilah,Tafilah,30.83346,35.62795,1152,Monopole / greenfield,2.8,2.8,0.04,32,3,3-sector | n78 64T64R 3x100 MHz + n3 4T4R + n28 2T4R,Fiber ring,HUB-TAF-01,HUB-TAF-01-R02,0
TAF-SU-0058,SU,Tafilah outskirts,Tafilah,Tafilah,30.83855,35.58085,925,Monopole / greenfield,2.5,2.5,0.04,32,3,3-sector | n78 64T64R 3x100 MHz + n3 4T4R + n28 2T4R,Fiber ring,HUB-TAF-02,HUB-TAF-02-R06,0
TAF-SU-0059,SU,Tafilah outskirts,Tafilah,Tafilah,30.83972,35.62317,1014,Rooftop,7.8,14.6,0.96,32,3,3-sector | n78 64T64R 3x100 MHz + n3 4T4R + n28 2T4R,Fiber ring,HUB-TAF-01,HUB-TAF-01-R02,0
TAF-SU-0060,SU,Tafilah outskirts,Tafilah,Tafilah,30.83972,35.63000,1157,Monopole / greenfield,4.2,4.4,0.08,32,3,3-sector | n78 64T64R 3x100 MHz + n3 4T4R + n28 2T4R,Fiber ring,HUB-TAF-01,HUB-TAF-01-R02,0
TAF-SU-0061,SU,Tafilah outskirts,Tafilah,Tafilah,30.84364,35.62795,1192,Monopole / greenfield,2.7,3.4,0.28,32,3,3-sector | n78 64T64R 3x100 MHz + n3 4T4R + n28 2T4R,Fiber ring,HUB-TAF-01,HUB-TAF-01-R03,0
TAF-SU-0062,SU,Tafilah outskirts,Tafilah,Tafilah,30.84873,35.62454,1191,Monopole / greenfield,2.5,2.5,0.32,32,3,3-sector | n78 64T64R 3x100 MHz + n3 4T4R + n28 2T4R,Fiber ring,HUB-TAF-01,HUB-TAF-01-R03,0
TAF-SU-0063,SU,Tafilah outskirts,Tafilah,Tafilah,30.84873,35.63000,1242,Monopole / greenfield,2.6,3.0,0.76,32,3,3-sector | n78 64T64R 3x100 MHz + n3 4T4R + n28 2T4R,Fiber ring,HUB-TAF-01,HUB-TAF-01-R03,0
TAF-SU-0064,SU,Tafilah outskirts,Tafilah,Tafilah,30.85382,35.62112,1197,Monopole / greenfield,2.5,2.5,0.12,32,3,3-sector | n78 64T64R 3x100 MHz + n3 4T4R + n28 2T4R,Fiber ring,HUB-TAF-01,HUB-TAF-01-R03,0
TAF-SU-0065,SU,Tafilah outskirts,Tafilah,Tafilah,30.85441,35.62727,1235,Monopole / greenfield,2.5,2.5,0.48,32,3,3-sector | n78 64T64R 3x100 MHz + n3 4T4R + n28 2T4R,Fiber ring,HUB-TAF-01,HUB-TAF-01-R03,0
